applicant_name,gender,age,city,employment_type,bank,monthly_income_pkr,credit_score,loan_amount_pkr,loan_tenure_months,existing_loans,default_history,has_credit_card,approved
Haroon Tariq,M,27,Rawalpindi,Salaried,Askari,97900,789,88000,24,0,0,1,0
Fariha Butt,F,34,Lahore,Salaried,Alfalah,124400,738,718000,24,0,0,1,0
Fariha Sheikh,F,47,Faisalabad,Salaried,UBL,155500,645,626000,24,1,0,0,1
Faiz Zafar,M,41,Lahore,Salaried,MCB,132100,656,810000,24,0,0,0,1
Bushra Nawaz,F,23,Karachi,Self-Employed,NBP,92400,610,977000,18,0,0,1,0
Zainab Nawaz,F,52,Faisalabad,Contract,Standard Chartered,133400,713,1278000,12,0,0,1,0
Zain Ahmed,M,33,Karachi,Salaried,Alfalah,110900,764,1289000,12,2,0,0,0
Muhammad Ahmed,M,28,Lahore,Self-Employed,NBP,121800,734,2364000,36,0,0,0,0
Zainab Tariq,F,48,Multan,Salaried,Faysal Bank,46800,724,991000,18,0,0,0,0
Faiz Shah,M,50,Quetta,Salaried,UBL,181100,628,317000,24,1,1,1,0
Sohail Shah,M,53,Karachi,Salaried,Alfalah,144700,659,880000,18,0,0,0,0
Saad Butt,M,21,Multan,Contract,HBL,87200,645,584000,12,0,0,0,0
Hina Amin,F,36,Faisalabad,Business Owner,UBL,200500,737,270000,60,1,0,1,1
Anaya Mahmood,F,31,Quetta,Salaried,Standard Chartered,170400,682,598000,18,1,0,0,0
Maryam Chaudhry,F,44,Multan,Self-Employed,Standard Chartered,183900,748,1901000,36,0,0,1,0
Nimra Qureshi,F,59,Karachi,Salaried,Faysal Bank,104800,708,660000,24,1,0,0,0
Sajid Rashid,M,25,Hyderabad,Business Owner,NBP,104400,620,1480000,48,0,0,1,0
Noman Awan,M,47,Karachi,Unemployed,Faysal Bank,23700,575,1324000,24,0,1,1,0
Noman Rashid,M,38,Lahore,Contract,JS Bank,115700,818,958000,48,0,0,1,0
Farhan Aslam,M,39,Lahore,Self-Employed,UBL,71200,650,1321000,24,0,0,1,0
Sana Rashid,F,58,Lahore,Salaried,Meezan,201200,688,1034000,12,0,0,1,1
Bilal Raza,M,50,Karachi,Salaried,Alfalah,134700,802,175000,12,1,1,0,0
Junaid Rajput,M,24,Karachi,Salaried,HBL,168400,715,1070000,24,0,0,0,1
Anaya Javed,F,38,Multan,Salaried,UBL,79900,608,843000,24,0,1,0,0
Saad Zafar,M,50,Rawalpindi,Salaried,Faysal Bank,127200,684,50000,36,1,0,0,1
Sohail Tariq,M,25,Lahore,Self-Employed,Faysal Bank,107900,783,874000,36,0,0,0,1
Abdullah Aslam,M,41,Faisalabad,Salaried,Faysal Bank,38700,705,783000,24,1,0,1,0
Imran Zafar,M,40,Quetta,Self-Employed,Meezan,169400,900,919000,60,1,0,1,0
Noman Rehman,M,23,Karachi,Business Owner,Alfalah,239000,539,2126000,48,0,0,0,1
Rizwan Tariq,M,59,Lahore,Salaried,Faysal Bank,227200,653,1638000,48,1,0,1,0
Asad Rajput,M,35,Hyderabad,Contract,UBL,113500,585,909000,6,0,0,0,0
Shahzeb Ahmed,M,31,Islamabad,Business Owner,Meezan,137000,731,1311000,12,1,0,0,1
Fariha Saleem,F,24,Karachi,Salaried,JS Bank,160800,590,595000,24,0,0,1,0
Umar Syed,M,23,Karachi,Business Owner,HBL,119100,625,472000,36,0,0,0,0
Tufail Hussain,M,28,Gujranwala,Business Owner,MCB,126300,637,1191000,60,2,1,1,0
Zain Haider,M,50,Lahore,Salaried,Alfalah,116800,693,636000,60,0,0,1,1
Junaid Haider,M,31,Peshawar,Salaried,Faysal Bank,78700,667,974000,24,0,0,0,0
Noor Iqbal,F,39,Islamabad,Salaried,Faysal Bank,80500,748,471000,12,2,0,0,0
Usman Shah,M,47,Lahore,Salaried,MCB,188700,605,838000,36,0,0,1,0
Saba Mahmood,F,34,Multan,Contract,Standard Chartered,68500,708,1144000,48,0,0,1,0
Kiran Zafar,F,37,Lahore,Contract,NBP,124100,665,1347000,12,1,0,1,0
Tufail Malik,M,40,Faisalabad,Self-Employed,Askari,94800,545,528000,18,2,0,0,0
Hafsa Mehmood,F,57,Lahore,Salaried,MCB,113300,758,1673000,48,0,0,0,0
Hassan Shah,M,58,Peshawar,Salaried,Alfalah,136100,628,986000,48,1,0,1,0
Taha Latif,M,32,Lahore,Self-Employed,Askari,144000,690,833000,36,0,0,1,0
Junaid Mehmood,M,31,Lahore,Salaried,UBL,82300,616,963000,36,0,0,1,0
Sana Farooq,F,37,Faisalabad,Self-Employed,Meezan,184200,877,875000,60,0,0,1,1
Hassan Ali,M,29,Peshawar,Salaried,UBL,125600,793,956000,24,0,0,1,1
Sameer Saleem,M,43,Multan,Unemployed,HBL,15000,646,997000,12,1,0,0,0
Hamza Mehmood,M,42,Lahore,Salaried,UBL,161100,699,836000,24,0,0,0,0
Faiz Zafar,M,39,Lahore,Salaried,JS Bank,123400,700,1534000,48,1,0,0,0
Rida Ali,F,39,Karachi,Salaried,Askari,112800,582,823000,60,0,0,0,0
Kashif Shah,M,55,Karachi,Salaried,Standard Chartered,131600,725,66000,48,1,0,0,1
Faiz Latif,M,26,Hyderabad,Salaried,NBP,44300,683,1664000,48,0,0,1,0
Moiz Qureshi,M,51,Faisalabad,Self-Employed,HBL,96000,755,990000,36,0,0,1,0
Usman Chaudhry,M,44,Islamabad,Business Owner,MCB,172800,669,117000,12,0,0,1,1
Kashif Shah,M,52,Islamabad,Business Owner,Alfalah,101300,600,338000,24,1,0,0,1
Usman Awan,M,43,Karachi,Self-Employed,Faysal Bank,174200,626,699000,48,2,0,0,0
Haroon Malik,M,51,Lahore,Unemployed,Askari,15600,595,1027000,48,1,0,0,0
Hina Farooq,F,45,Quetta,Salaried,Meezan,112800,690,50000,60,0,0,0,0
Ayla Naseer,F,49,Lahore,Business Owner,Faysal Bank,245100,730,50000,18,0,0,1,1
Mehak Syed,F,37,Islamabad,Salaried,Askari,80900,580,845000,48,2,0,0,0
Moiz Butt,M,56,Lahore,Self-Employed,JS Bank,138600,707,1483000,6,0,1,0,0
Hafsa Haider,F,32,Karachi,Business Owner,Askari,106300,731,1474000,36,0,0,1,0
Zainab Tariq,F,49,Lahore,Self-Employed,Meezan,58000,712,303000,18,0,0,0,0
Nimra Awan,F,34,Karachi,Salaried,JS Bank,147600,585,1092000,60,0,0,0,0
Rizwan Akhtar,M,52,Islamabad,Salaried,Alfalah,117700,799,1084000,12,0,0,1,0
Ali Rashid,M,54,Gujranwala,Contract,Faysal Bank,104700,704,914000,18,0,0,0,1
Farhan Niaz,M,28,Lahore,Contract,Alfalah,113300,568,1410000,6,1,0,0,0
Eman Nawaz,F,46,Multan,Self-Employed,Standard Chartered,94800,640,419000,6,0,0,1,1
Zain Amin,M,42,Karachi,Salaried,HBL,65600,638,991000,12,3,0,1,0
Ahmed Mehmood,M,36,Lahore,Salaried,Askari,128300,663,1775000,36,0,0,0,0
Asad Hussain,M,32,Rawalpindi,Salaried,Meezan,186600,782,635000,12,0,0,0,1
Moiz Akhtar,M,45,Karachi,Salaried,Faysal Bank,134300,697,566000,24,0,0,1,1
Ammar Niaz,M,53,Karachi,Salaried,Alfalah,56400,670,1181000,36,1,0,1,0
Fariha Javed,F,34,Karachi,Salaried,Meezan,252200,790,988000,18,3,0,1,0
Maham Rajput,F,34,Karachi,Self-Employed,HBL,74000,714,50000,36,0,0,0,1
Maryam Aslam,F,55,Peshawar,Salaried,HBL,37600,828,1326000,24,0,0,1,0
Ibrahim Naseer,M,51,Karachi,Salaried,Askari,199200,688,194000,48,0,0,0,1
Sajid Khan,M,50,Karachi,Salaried,UBL,83400,793,1216000,12,3,0,1,0
Arslan Ahmed,M,44,Faisalabad,Self-Employed,Alfalah,112400,535,741000,12,0,0,0,0
Anas Mehmood,M,25,Karachi,Salaried,Faysal Bank,172200,732,787000,48,1,1,1,0
Usman Hussain,M,27,Lahore,Self-Employed,MCB,224300,668,842000,48,0,0,1,1
Ahmed Mahmood,M,23,Karachi,Salaried,Faysal Bank,111800,700,370000,12,0,0,0,0
Rizwan Saleem,M,33,Peshawar,Salaried,Meezan,153400,710,1411000,12,3,0,1,0
Muhammad Farooq,M,22,Quetta,Business Owner,Faysal Bank,272100,726,859000,24,1,0,0,1
Tufail Akhtar,M,39,Quetta,Salaried,Alfalah,66900,795,639000,36,0,0,1,1
Muhammad Mehmood,M,22,Karachi,Self-Employed,JS Bank,153000,720,1637000,36,0,0,0,0
Noman Malik,M,60,Karachi,Salaried,UBL,102700,681,762000,48,1,0,0,1
Shahzeb Amin,M,40,Multan,Salaried,NBP,65600,716,375000,6,1,0,1,1
Ibrahim Mehmood,M,21,Multan,Salaried,Alfalah,161900,618,1223000,12,1,0,1,0
Ayesha Siddiqui,F,28,Lahore,Salaried,Standard Chartered,173800,815,516000,24,1,0,1,1
Abdullah Javed,M,28,Islamabad,Salaried,Meezan,148800,635,1645000,36,0,1,0,0
Shahzaib Nawaz,M,47,Lahore,Unemployed,Meezan,36500,736,645000,36,3,0,0,0
Arslan Mahmood,M,51,Karachi,Salaried,NBP,107600,769,534000,36,1,0,1,0
Noman Sheikh,M,40,Lahore,Self-Employed,Askari,154600,722,412000,36,0,0,0,1
Sana Butt,F,50,Peshawar,Salaried,Askari,145200,637,810000,18,1,0,1,0
Shahzeb Hussain,M,24,Multan,Self-Employed,Standard Chartered,259300,631,608000,24,1,0,1,1
Bushra Farooq,F,33,Karachi,Contract,JS Bank,40200,761,714000,60,1,0,0,0
Ahmed Khan,M,21,Karachi,Salaried,HBL,92600,709,108000,48,3,0,0,0
Sameer Rashid,M,37,Karachi,Contract,Faysal Bank,94700,650,967000,60,0,1,0,0
Faisal Aslam,M,22,Karachi,Contract,Askari,120300,624,1100000,36,0,0,1,0
Amna Saleem,F,52,Karachi,Contract,HBL,158900,635,1279000,18,0,0,1,0
Sajid Nawaz,M,42,Karachi,Salaried,Alfalah,166000,694,509000,24,0,0,1,1
Sameer Siddiqui,M,51,Peshawar,Self-Employed,HBL,122900,849,985000,36,0,0,0,1
Zain Mahmood,M,44,Multan,Salaried,Askari,149000,595,1292000,18,1,0,1,1
Shahzaib Naseer,M,22,Quetta,Salaried,NBP,114900,517,992000,6,0,0,1,0
Saad Butt,M,35,Faisalabad,Salaried,Faysal Bank,131500,683,479000,12,1,0,1,1
Taha Chaudhry,M,21,Faisalabad,Salaried,NBP,166500,637,1206000,18,1,0,0,0
Usman Qureshi,M,24,Faisalabad,Self-Employed,JS Bank,28700,655,1478000,48,0,0,1,0
Nimra Mehmood,F,58,Rawalpindi,Salaried,Standard Chartered,107900,601,872000,12,1,0,0,0
Zoya Farooq,F,58,Karachi,Salaried,Meezan,76100,770,984000,48,3,1,0,0
Farhan Sheikh,M,25,Karachi,Salaried,Alfalah,80300,647,274000,18,1,0,1,1
Faisal Malik,M,37,Lahore,Business Owner,NBP,124800,714,566000,12,0,0,1,0
Danish Iqbal,M,32,Rawalpindi,Business Owner,HBL,48300,790,1277000,24,0,0,1,0
Hina Awan,F,38,Karachi,Salaried,Askari,177800,664,811000,36,0,0,0,1
Ibrahim Rehman,M,45,Islamabad,Salaried,UBL,234900,623,361000,36,1,0,0,0
Bushra Hussain,F,36,Peshawar,Salaried,UBL,128700,671,1500000,24,0,0,0,1
Alina Rehman,F,53,Karachi,Salaried,Standard Chartered,192800,673,1326000,12,0,0,0,1
Zainab Raza,F,23,Karachi,Salaried,Meezan,90600,717,658000,36,0,0,0,1
Zain Shah,M,44,Gujranwala,Business Owner,Askari,243000,680,2095000,36,2,0,1,0
Anum Awan,F,49,Lahore,Business Owner,UBL,134000,687,559000,24,0,0,0,1
Tufail Ali,M,43,Karachi,Salaried,MCB,94300,648,50000,12,1,0,0,0
Taha Mirza,M,47,Rawalpindi,Salaried,Meezan,127400,694,725000,12,1,0,1,0
Usman Malik,M,45,Gujranwala,Salaried,Faysal Bank,201700,703,50000,12,1,0,1,1
Noman Sheikh,M,27,Karachi,Salaried,Meezan,172100,719,1056000,24,0,0,1,0
Dania Mirza,F,52,Karachi,Self-Employed,NBP,214200,563,1510000,18,0,1,0,0
Anaya Chaudhry,F,31,Lahore,Self-Employed,NBP,64200,597,409000,36,0,0,1,0
Hussain Javed,M,28,Lahore,Salaried,UBL,70700,581,593000,24,0,1,0,0
Maham Shah,F,42,Multan,Salaried,MCB,98200,747,547000,24,3,0,0,0
Hamza Awan,M,46,Gujranwala,Salaried,Askari,186800,599,621000,36,1,0,1,0
Ammar Raza,M,36,Multan,Contract,Alfalah,128700,650,738000,60,0,0,0,1
Sameer Raza,M,23,Karachi,Salaried,Standard Chartered,39800,679,465000,12,0,1,1,0
Zainab Niaz,F,60,Faisalabad,Salaried,Meezan,107600,578,1112000,48,0,0,0,0
Sajid Syed,M,53,Islamabad,Salaried,Meezan,89900,645,266000,6,0,0,1,1
Usman Rehman,M,40,Lahore,Salaried,UBL,114000,857,933000,36,1,0,1,0
Umar Khan,M,34,Islamabad,Self-Employed,JS Bank,255600,684,1217000,48,0,0,1,1
Hira Ali,F,56,Lahore,Salaried,JS Bank,111400,805,309000,60,0,0,1,1
Mehak Rashid,F,35,Islamabad,Salaried,Meezan,102200,645,50000,6,1,0,1,0
Amna Haider,F,29,Faisalabad,Contract,NBP,57100,725,173000,18,1,0,0,0
Hira Shah,F,31,Karachi,Salaried,Faysal Bank,157800,648,596000,36,0,0,1,0
Nimra Butt,F,43,Islamabad,Salaried,Meezan,114500,697,172000,12,1,0,1,1
Shahzaib Chaudhry,M,50,Karachi,Salaried,HBL,81400,736,1553000,36,1,0,1,0
Kashif Qureshi,M,33,Lahore,Business Owner,UBL,201600,648,787000,24,2,0,0,0
Maryam Rashid,F,28,Lahore,Contract,NBP,88100,717,450000,18,0,1,1,0
Sana Mahmood,F,58,Sialkot,Business Owner,JS Bank,149300,658,413000,24,0,0,0,0
Muhammad Malik,M,24,Lahore,Salaried,Askari,73900,698,1214000,12,1,0,0,0
Muhammad Hussain,M,43,Multan,Salaried,NBP,33200,751,1345000,18,0,0,0,0
Iqra Farooq,F,28,Lahore,Salaried,HBL,156400,778,577000,12,0,1,0,1
Bilal Zafar,M,47,Karachi,Unemployed,NBP,34500,753,908000,36,1,0,1,0
Zoya Syed,F,36,Lahore,Contract,NBP,113600,678,1051000,60,0,0,1,0
Ahmed Latif,M,24,Karachi,Business Owner,Faysal Bank,153200,770,1029000,48,0,0,0,0
Usman Khan,M,27,Multan,Contract,Alfalah,80300,744,1137000,24,1,1,1,0
Mahnoor Aslam,F,40,Lahore,Self-Employed,Standard Chartered,142900,646,1330000,18,0,0,1,1
Faiz Mahmood,M,26,Rawalpindi,Self-Employed,MCB,173000,607,1116000,12,0,0,0,0
Farhan Mehmood,M,44,Faisalabad,Self-Employed,Standard Chartered,157900,561,553000,12,2,0,1,0
Junaid Akhtar,M,53,Lahore,Salaried,Askari,88100,803,644000,12,0,0,1,0
Sana Chaudhry,F,32,Lahore,Self-Employed,JS Bank,187800,571,52000,36,2,0,0,0
Ahmed Rashid,M,58,Karachi,Salaried,Askari,122400,664,896000,36,1,0,1,1
Zain Naseer,M,50,Rawalpindi,Contract,JS Bank,103200,707,860000,48,0,0,1,0
Sidra Naseer,F,24,Multan,Salaried,Standard Chartered,95100,596,563000,48,1,0,0,0
Nimra Latif,F,39,Islamabad,Self-Employed,JS Bank,114100,797,949000,36,0,0,0,0
Faiz Ahmed,M,43,Karachi,Salaried,Faysal Bank,129300,847,583000,6,0,0,1,1
Sajid Awan,M,43,Rawalpindi,Self-Employed,Faysal Bank,68900,690,384000,24,2,0,1,0
Imran Awan,M,39,Rawalpindi,Business Owner,JS Bank,136900,666,1417000,36,3,0,0,0
Saad Malik,M,35,Lahore,Business Owner,Askari,129400,630,528000,60,1,1,1,0
Rizwan Rashid,M,43,Lahore,Contract,HBL,94100,707,755000,12,3,0,1,0
Hina Butt,F,48,Lahore,Salaried,Meezan,132400,533,1134000,60,1,0,0,0
Farhan Javed,M,54,Faisalabad,Self-Employed,NBP,65700,686,293000,6,0,0,1,1
Noman Ahmed,M,25,Rawalpindi,Salaried,Faysal Bank,195800,731,892000,24,0,1,1,0
Anum Rashid,F,26,Lahore,Contract,Alfalah,100700,637,341000,24,0,0,1,1
Ammar Butt,M,41,Multan,Self-Employed,Faysal Bank,167600,697,1103000,24,1,0,1,0
Sajid Awan,M,37,Multan,Salaried,Askari,162300,715,1883000,24,1,0,1,0
Maryam Awan,F,56,Karachi,Contract,Standard Chartered,172000,703,1291000,36,0,0,0,1
Mehak Ali,F,43,Karachi,Self-Employed,JS Bank,146400,651,1429000,12,0,0,0,1
Sahar Latif,F,30,Lahore,Self-Employed,Askari,91300,727,1074000,36,2,0,1,0
Taha Khan,M,55,Faisalabad,Salaried,Standard Chartered,63400,622,1669000,24,1,0,1,0
Noman Tariq,M,55,Karachi,Salaried,NBP,140400,609,50000,36,0,0,0,0
Hira Butt,F,22,Peshawar,Self-Employed,Standard Chartered,119900,634,965000,18,0,0,1,1
Muhammad Akhtar,M,56,Karachi,Salaried,Meezan,193700,698,1287000,48,1,0,0,1
Tufail Qureshi,M,35,Rawalpindi,Self-Employed,HBL,101000,553,667000,24,2,0,0,0
Moiz Aslam,M,30,Multan,Self-Employed,MCB,86000,598,1130000,12,0,0,1,0
Areeba Mirza,F,25,Karachi,Salaried,Askari,72100,602,526000,18,0,1,0,0
Ayla Tariq,F,24,Multan,Salaried,UBL,225600,690,1513000,36,0,0,1,1
Ammar Gill,M,23,Multan,Business Owner,Meezan,259500,622,806000,18,1,0,0,0
Sana Javed,F,51,Karachi,Self-Employed,HBL,85700,603,684000,36,1,0,1,0
Faiz Amin,M,57,Karachi,Salaried,Askari,105100,588,465000,48,0,0,1,0
Umar Naseer,M,59,Peshawar,Salaried,MCB,102500,613,848000,18,0,0,1,0
Saad Syed,M,41,Sialkot,Salaried,JS Bank,41200,640,1565000,60,0,0,1,0
Noman Syed,M,31,Lahore,Salaried,Askari,114900,597,1389000,36,0,0,0,0
Ahmed Saleem,M,56,Karachi,Salaried,Faysal Bank,150200,692,392000,48,0,0,0,1
Hamza Mahmood,M,57,Karachi,Salaried,Faysal Bank,123500,667,867000,48,3,1,1,0
Rida Khan,F,37,Lahore,Salaried,Alfalah,108600,763,1051000,48,1,0,0,0
Hamza Hussain,M,29,Islamabad,Salaried,Meezan,102400,799,711000,60,1,0,1,0
Areeba Butt,F,54,Faisalabad,Unemployed,Askari,25400,668,913000,18,1,0,0,0
Zainab Farooq,F,35,Islamabad,Self-Employed,NBP,148500,714,1412000,6,0,0,0,1
Tufail Javed,M,42,Peshawar,Salaried,NBP,184800,724,759000,6,0,0,0,1
Hira Awan,F,56,Karachi,Salaried,Meezan,103600,686,1044000,24,0,0,0,0
Zain Syed,M,27,Lahore,Salaried,Askari,85900,626,1355000,36,0,0,1,0
Usman Javed,M,33,Karachi,Salaried,HBL,79300,705,1188000,18,3,0,1,0
Iqra Amin,F,29,Faisalabad,Contract,HBL,174100,591,895000,6,1,0,0,1
Ayla Javed,F,51,Rawalpindi,Salaried,Meezan,203600,707,1533000,6,0,0,1,0
Shahzaib Siddiqui,M,25,Peshawar,Contract,Faysal Bank,100500,669,455000,36,0,0,0,1
Zain Malik,M,26,Karachi,Salaried,Alfalah,125500,692,50000,24,0,0,0,1
Shahzeb Iqbal,M,34,Multan,Salaried,Faysal Bank,108900,687,986000,12,2,1,1,0
Rida Amin,F,36,Lahore,Business Owner,Alfalah,94500,776,1769000,24,0,1,1,0
Awais Hussain,M,50,Karachi,Self-Employed,HBL,136900,627,1907000,18,2,1,1,0
Noman Haider,M,58,Multan,Self-Employed,Alfalah,62100,738,379000,60,0,0,0,0
Moiz Shah,M,44,Karachi,Salaried,Alfalah,83800,686,542000,36,1,0,1,0
Sohail Mehmood,M,30,Faisalabad,Salaried,UBL,97800,781,50000,12,1,0,1,1
Ayesha Naseer,F,47,Lahore,Salaried,Alfalah,168300,589,883000,18,1,0,1,0
Maryam Latif,F,49,Lahore,Salaried,Askari,123000,672,1171000,24,1,0,0,1
Ali Iqbal,M,24,Lahore,Self-Employed,UBL,87400,705,341000,18,0,0,0,0
Faisal Mirza,M,57,Sialkot,Business Owner,Standard Chartered,228500,679,604000,12,0,0,1,0
Usman Naseer,M,41,Islamabad,Contract,UBL,97200,572,1493000,12,0,0,1,0
Hina Latif,F,52,Karachi,Salaried,Standard Chartered,75300,635,1794000,60,1,0,1,0
Dania Akhtar,F,23,Hyderabad,Salaried,UBL,148100,621,1242000,24,1,0,1,0
Ahmed Hussain,M,58,Karachi,Business Owner,MCB,172000,809,550000,12,0,0,0,1
Ammar Iqbal,M,59,Lahore,Salaried,Alfalah,25000,687,1698000,48,0,0,0,0
Hassan Shah,M,58,Multan,Salaried,MCB,127100,609,1084000,24,2,0,0,0
Umar Rehman,M,42,Karachi,Salaried,NBP,89100,733,628000,36,1,0,1,0
Mehak Qureshi,F,25,Karachi,Salaried,MCB,82800,651,512000,12,1,0,0,0
Moiz Malik,M,39,Peshawar,Salaried,UBL,105700,770,50000,36,1,0,0,0
Noman Zafar,M,45,Karachi,Salaried,UBL,37600,624,1677000,60,0,0,1,0
Ayesha Ali,F,38,Lahore,Self-Employed,Standard Chartered,125600,605,2109000,18,1,0,0,0
Anas Rashid,M,38,Karachi,Self-Employed,NBP,151900,642,798000,24,0,0,1,1
Bilal Niaz,M,34,Lahore,Salaried,Faysal Bank,82500,715,1130000,48,0,0,1,0
Imran Latif,M,48,Faisalabad,Salaried,UBL,106700,714,780000,36,1,1,1,0
Sohail Mehmood,M,43,Hyderabad,Salaried,NBP,121900,775,915000,12,0,1,1,0
Kashif Mirza,M,50,Islamabad,Self-Employed,Alfalah,162200,819,270000,24,1,0,1,1
Muhammad Saleem,M,24,Lahore,Self-Employed,Standard Chartered,169800,724,1037000,48,0,1,0,0
Faisal Sheikh,M,30,Karachi,Salaried,Askari,92000,632,1761000,48,0,0,1,0
Faisal Javed,M,56,Lahore,Self-Employed,UBL,123700,744,793000,36,1,0,1,1
Muhammad Iqbal,M,52,Multan,Self-Employed,NBP,58300,685,644000,18,2,0,1,0
Zainab Chaudhry,F,47,Faisalabad,Salaried,Askari,90500,682,1361000,12,0,0,0,0
Ahmed Rajput,M,37,Lahore,Unemployed,Faysal Bank,44800,673,473000,18,2,0,0,0
Faiz Javed,M,38,Karachi,Contract,Standard Chartered,64300,609,664000,48,0,0,0,0
Asad Khan,M,47,Islamabad,Salaried,Standard Chartered,172600,623,635000,18,0,0,0,1
Sahar Ali,F,51,Multan,Self-Employed,Alfalah,79600,595,560000,36,0,0,0,0
Bushra Tariq,F,38,Islamabad,Salaried,Alfalah,151500,556,372000,24,0,0,0,0
Junaid Rajput,M,56,Islamabad,Business Owner,NBP,176300,697,1215000,12,1,0,0,0
Imran Latif,M,34,Rawalpindi,Salaried,Standard Chartered,194600,783,1562000,12,0,0,0,1
Ammar Ahmed,M,33,Karachi,Salaried,MCB,25000,709,1232000,36,1,1,1,0
Muhammad Syed,M,48,Islamabad,Self-Employed,MCB,96600,727,1843000,24,1,0,0,0
Anas Iqbal,M,52,Karachi,Salaried,Faysal Bank,194900,822,1235000,48,0,1,1,0
Ammar Rehman,M,42,Karachi,Unemployed,NBP,31100,608,854000,60,0,1,1,0
Bilal Javed,M,59,Karachi,Business Owner,Meezan,195100,790,706000,18,3,0,0,0
Anas Mehmood,M,55,Islamabad,Business Owner,MCB,110500,767,875000,24,0,0,1,1
Sajid Mahmood,M,29,Sialkot,Salaried,Alfalah,71500,680,1299000,24,0,0,0,0
Ali Khan,M,52,Karachi,Salaried,Meezan,174100,602,962000,48,0,0,1,1
Sara Saeed,F,53,Lahore,Business Owner,Standard Chartered,158300,715,1423000,36,1,0,1,1
